,State_Name,DFSI
Sri Potti Sriramulu Nell*,ANDHRA PRADESH,15.30583557
Ludhiana,PUNJAB,15.29530674
Srikakulam,ANDHRA PRADESH,15.26104934
Balrampur,CHHATTISGARH,15.2370682
Kendrapara,ODISHA,15.21487322
Bidar,KARNATAKA,15.21026316
Kendujhar,ODISHA,15.1904768
Banka,BIHAR,15.16369521
Sambhal,UTTAR PRADESH,15.16065953
West Nimar,MADHYA PRADESH,15.1525421
Ganganagar,RAJASTHAN,15.14673799
Punch,JAMMU & KASHMIR,15.13979186
Sambalpur,ODISHA,15.13820085
Gautam Buddha Nagar,UTTAR PRADESH,15.1379273
Pratapgarh,RAJASTHAN,15.13521928
South Twenty Four Pargan*,WEST BENGAL,15.12556501
Kasganj,UTTAR PRADESH,15.10167008
Puri,ODISHA,15.10138818
Mumbai,MAHARASHTRA,15.09632228
Jaisalmer,RAJASTHAN,15.08038227
Gadag,KARNATAKA,15.07788311
Kokrajhar,ASSAM,15.04546818
Baran,RAJASTHAN,15.03916048
Sirsa,HARYANA,15.03133711
Bijnor,UTTAR PRADESH,15.02946506
Bhadrak,ODISHA,15.01748886
Mayurbhanj,ODISHA,15.01661216
Buxar,BIHAR,15.01252576
Bilaspur,CHHATTISGARH,15.01006326
Bongaigaon,ASSAM,15.00163184
Baramula,JAMMU & KASHMIR,14.99994483
Jalna,MAHARASHTRA,14.99289719
Lakhisarai,BIHAR,14.98915106
Sheohar,BIHAR,14.98702658
Farrukhabad,UTTAR PRADESH,14.97549178
Belagavi,KARNATAKA,14.97463069
Kaimur (bhabua),BIHAR,14.97113697
Chittoor,ANDHRA PRADESH,14.96853199
Amroha,UTTAR PRADESH,14.96434064
Kalahandi,ODISHA,14.95201813
Firozpur,PUNJAB,14.94646918
Patan,GUJARAT,14.91649272
Chamba,HIMACHAL PRADESH,14.89530724
Ghaziabad,UTTAR PRADESH,14.89486164
Bhavnagar,GUJARAT,14.86671025
Salem,TAMIL NADU,14.86457237
Etah,UTTAR PRADESH,14.85722298
Tiruvannamalai,TAMIL NADU,14.85301299
Mahesana,GUJARAT,14.85260956
Baksa,ASSAM,14.85212927
Haveri,KARNATAKA,14.84670195
Jehanabad,BIHAR,14.84221031
Hisar,HARYANA,14.84156814
